date_key,full_date,day,month,year,day_of_week,month_name,is_weekend
20101110,2010-11-10,10,11,2010,Wednesday,November,f
20111225,2011-12-25,25,12,2011,Sunday,December,t
20220716,2022-07-16,16,7,2022,Saturday,July,t
20100305,2010-03-05,5,3,2010,Friday,March,f
20100512,2010-05-12,12,5,2010,Wednesday,May,f
20220916,2022-09-16,16,9,2022,Friday,September,f
20190812,2019-08-12,12,8,2019,Monday,August,f
20180928,2018-09-28,28,9,2018,Friday,September,f
20200508,2020-05-08,8,5,2020,Friday,May,f
20200124,2020-01-24,24,1,2020,Friday,January,f
20240827,2024-08-27,27,8,2024,Tuesday,August,f
20150124,2015-01-24,24,1,2015,Saturday,January,t
20181215,2018-12-15,15,12,2018,Saturday,December,t
20240820,2024-08-20,20,8,2024,Tuesday,August,f
20230711,2023-07-11,11,7,2023,Tuesday,July,f
20170730,2017-07-30,30,7,2017,Sunday,July,t
20110720,2011-07-20,20,7,2011,Wednesday,July,f
20220718,2022-07-18,18,7,2022,Monday,July,f
20201221,2020-12-21,21,12,2020,Monday,December,f
20121213,2012-12-13,13,12,2012,Thursday,December,f
20180301,2018-03-01,1,3,2018,Thursday,March,f
20240906,2024-09-06,6,9,2024,Friday,September,f
20120913,2012-09-13,13,9,2012,Thursday,September,f
20200415,2020-04-15,15,4,2020,Wednesday,April,f
20180608,2018-06-08,8,6,2018,Friday,June,f
20140424,2014-04-24,24,4,2014,Thursday,April,f
20230910,2023-09-10,10,9,2023,Sunday,September,t
20180808,2018-08-08,8,8,2018,Wednesday,August,f
20241017,2024-10-17,17,10,2024,Thursday,October,f
20170726,2017-07-26,26,7,2017,Wednesday,July,f
20230613,2023-06-13,13,6,2023,Tuesday,June,f
20150206,2015-02-06,6,2,2015,Friday,February,f
20241206,2024-12-06,6,12,2024,Friday,December,f
20140302,2014-03-02,2,3,2014,Sunday,March,t
20220526,2022-05-26,26,5,2022,Thursday,May,f
20110923,2011-09-23,23,9,2011,Friday,September,f
