weather_fact_key,date_key,time_key,weather_key,temperature_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,windspeed_10m
15402,20231203,400,4283,-4.5,-7.4,-10.5,0,0,0,0.15,20.4
15403,20241104,400,14605,-0.6,-1.6,-3.9,0,0,0,0,6.6
15404,20241217,400,18208,7.9,4.9,4.4,0,0,0,0,15.4
15405,20231202,400,9012,-0.3,-2.1,-4.9,0.7,0,0.49,0.11,14.8
15406,20221204,400,13202,4.1,2.9,-0,0,0,0,0.02,17.1
15407,20240125,400,11001,6.1,1.1,0.8,0,0,0,0,22.5
15408,20221223,400,17840,0.4,0.2,-2.4,0,0,0,0.12,4.7
15409,20241215,400,13556,2.1,-1.5,-2.3,0,0,0,0.04,14.1
15410,20240126,400,20831,0.4,-1.4,-3.1,0,0,0,0,8.4
15411,20240127,400,7171,2.7,-1.4,-2.7,0,0,0,0,21.1
15412,20231201,400,19443,-1.4,-2,-4.3,0.3,0,0.21,0.05,2.9
15413,20230526,400,2500,10.3,8.9,8.5,0,0,0,0,10.4
15414,20231130,400,21434,-2.1,-3.1,-5.7,0,0,0,0.04,7.2
15415,20241105,400,11257,3.9,2.9,0.8,0,0,0,0,9.7
15416,20221203,400,8423,1.7,1.1,-2.1,0,0,0,0.03,13
15417,20240128,400,10507,-2.5,-3.7,-6.4,0,0,0,0,8.6
15418,20231129,400,18027,-4.5,-6.9,-9.7,0,0,0,0.04,15.3
15419,20240129,400,4576,-3.4,-4.3,-7.4,0,0,0,0,8.6
15420,20240130,400,24447,-1.3,-2.5,-5,0,0,0,0,8.2
15421,20221224,400,18398,3.2,2.5,-0.1,0,0,0,0.08,10.7
15422,20221202,400,24287,-0.8,-2.2,-4.6,0,0,0,0,9.4
15423,20231128,400,3472,0.8,0.5,-2.5,0.1,0.1,0,0.03,8.7
15424,20230228,400,16300,-2,-7,-7.1,0,0,0,0,14.2
15425,20240131,400,4417,-1.5,-2.2,-4.7,0,0,0,0,4.7
15426,20240201,400,3650,-1,-1.1,-3.7,0,0,0,0,2.9
15427,20231127,400,7491,0.1,-1.5,-3,0,0,0,0.01,4.8
15428,20240202,400,24355,1.3,-0.9,-2.2,0,0,0,0,8.6
15429,20221201,400,1185,1.4,-3.7,-2.6,0,0,0,0,9.3
15430,20240203,400,17002,6.8,2.9,2,0,0,0,0,21.9
15431,20220814,400,7989,18.8,16.9,20,0,0,0,0,8.7
15432,20221225,400,11461,0.8,0.2,-2.8,0,0,0,0.03,9.9
15433,20231126,400,3481,-1.3,-3.8,-6.3,0,0,0,0.01,16.4
15434,20230409,400,14821,1.6,1,-1.6,0,0,0,0.01,8.4
15435,20240204,400,8302,7.1,4.4,3.9,0,0,0,0,13
15436,20231125,400,9829,-0.5,-2.8,-4,0.1,0,0.07,0,7
15437,20221130,400,8859,0.4,-1.3,-3.1,0,0,0,0,8.1
15438,20240205,400,5916,9.2,6.6,3.6,0.5,0.5,0,0,32.9
15439,20231124,400,15128,8.5,4.6,3.9,0.8,0.8,0,0,22.4
15440,20220825,400,10936,19.6,18.6,21.8,0,0,0,0,6.8
15441,20240206,400,8030,4.4,0.1,0.7,0,0,0,0,10.4
15442,20240207,400,4581,6.9,2,2.7,0,0,0,0,16.6
15443,20221129,400,22609,2.7,0.5,-1.7,0,0,0,0,16
15444,20241106,400,11263,2,0.1,-1.1,0,0,0,0,6.3
15445,20221226,400,2268,4.1,4.1,1.9,0,0,0,0.02,5.9
15446,20240208,400,2509,2.5,1.8,-0.7,0.4,0.4,0,0,9.2
15447,20231123,400,18741,-1.1,-3.1,-4.5,0,0,0,0,5.6
15448,20240209,400,6223,7.3,6.5,5.4,0.5,0.5,0,0,6.8
15449,20231122,400,14034,3.5,1.2,-0.1,0,0,0,0,11.4
15450,20230525,400,4531,9.9,8.6,8.5,0,0,0,0,7.6
15451,20240210,400,4329,7.3,6.3,5.6,0.1,0.1,0,0,5.3
15452,20241218,400,7839,2.8,2.2,0.7,0,0,0,0,2.5
15453,20231121,400,18840,6.3,4,3.9,0,0,0,0,6.2
15454,20221128,400,19591,2.5,1.9,-1.7,0,0,0,0,16.3
15455,20240211,400,22264,9.3,8,5.7,0.4,0.4,0,0,21.3
15456,20240212,400,12303,5.5,3.7,3,0,0,0,0,6.9
15457,20221227,400,17414,5.7,3.4,2,0,0,0,0.01,14.4
15458,20240213,400,4313,3.8,2.5,0.4,0,0,0,0,11.7
15459,20231120,400,8317,5.6,4.3,3.1,0,0,0,0.01,8.1
15460,20241107,400,1978,3.5,1.7,0.7,0,0,0,0,6.9
15461,20231119,400,3443,1,-0.6,-2.2,0,0,0,0,6.3
15462,20221127,400,24257,2.7,1.9,-0.6,0,0,0,0,10.2
15463,20240214,400,23320,-1.3,-2.6,-4.9,0,0,0,0,7.4
15464,20231118,400,19747,2.8,-0.4,-2.5,0,0,0,0,21.2
15465,20240215,400,2739,4.6,3.6,2.7,0,0,0,0,3.2
15466,20240216,400,12794,3.8,2.7,1,0,0,0,0,7.7
15467,20230524,400,6434,12.3,9.8,10,0,0,0,0,15.5
15468,20221228,400,19345,-1.2,-2.7,-4.2,0,0,0,0.01,3.4
15469,20221126,400,25025,3.1,2.8,0.7,0.1,0.1,0,0,5.4
15470,20231117,400,6190,6.7,5.6,4.4,0.5,0.5,0,0,8.4
15471,20230311,400,6345,3.9,-0,-2.1,0.1,0.1,0,0,26.6
15472,20240217,400,14728,2.2,1.3,-0.8,0,0,0,0,7.8
15473,20240218,400,15885,3.3,1.8,0.3,0,0,0,0,8.2
15474,20231116,400,16078,5.1,3.6,2.3,0,0,0,0,8.7
15475,20241108,400,20283,3.6,2.8,0.1,0,0,0,0,12.5
15476,20240219,400,8423,3.6,1.2,0.3,0,0,0,0,9.2
15477,20231115,400,13849,7.6,6.1,5.3,0,0,0,0,9.2
15478,20221125,400,5545,3.7,3.1,1.2,0,0,0,0,6.3
15479,20221229,400,17220,-1.7,-2.7,-5.3,0,0,0,0.01,7.1
15480,20241214,400,14958,0.2,-2,-4.6,0,0,0,0.03,16.3
15481,20240220,400,23092,2.6,1.7,-0.5,0,0,0,0,8.6
15482,20240221,400,14958,2,0.8,-1.2,0,0,0,0,8.3
15483,20231114,400,11379,8.5,7.3,6.7,0,0,0,0,7.7
15484,20220810,400,21662,16,11.2,15.1,0,0,0,0,8.6
15485,20231113,400,20306,-0.3,-1.2,-3.5,0,0,0,0,6.1
15486,20220824,400,8323,16.5,15.7,17.3,0,0,0,0,7.6
15487,20221124,400,8969,2.3,1.5,-0.3,0,0,0,0,4.8
15488,20240222,400,20678,4,1.7,1.2,0,0,0,0,6.1
15489,20231112,400,21643,2.8,0.5,-1,0,0,0,0,12.4
15490,20190310,400,2150,5.3,-1.8,1.7,0,0,0,0,8.6
15491,20190529,400,11364,11.6,9.8,9.2,0.3,0.3,0,0,15.7
15492,20170806,400,20064,21.2,14.3,20.2,0,0,0,0,16.6
15493,20180331,400,2393,7.1,6.5,4.6,0,0,0,0,11
15494,20190311,400,9680,4.5,-1.5,-1.3,0,0,0,0,24.1
15495,20191028,400,13921,9.6,6.6,6.7,0.6,0.6,0,0,14.1
15496,20170917,400,20288,11.8,10.2,10.2,0.1,0.1,0,0,11.3
15497,20190312,400,9147,2.2,-1.3,-2.1,0,0,0,0,13.3
15498,20190528,400,14371,13.8,13.1,13.2,0,0,0,0,10.5
15499,20190313,400,5144,1.9,-3.4,-2.8,0,0,0,0,14.7
15500,20170916,400,8102,11,8.2,9.7,0.1,0.1,0,0,5.4
15501,20190314,400,13151,1.9,-1.2,-1.7,0,0,0,0,9.3
15502,20180608,400,12528,17.8,16.2,18.4,0.3,0.3,0,0,10.1
15503,20190527,400,19406,12.5,11.8,12.4,0,0,0,0,4.3
15504,20170807,400,22252,15.8,11.1,14.6,0,0,0,0,10.4
15505,20180213,400,7960,-1.2,-4,-5.8,0,0,0,0.03,12.9
15506,20190315,400,2351,5.5,2.2,0.6,0,0,0,0,21
15507,20170915,400,18141,12.2,5.6,8.6,0,0,0,0,17.1
15508,20170511,400,12695,3.4,1.4,0.6,0,0,0,0,6.6
15509,20190316,400,8118,5.3,2.1,-0.1,0.6,0.6,0,0,24.9
15510,20190317,400,16938,1.7,1.7,-1,0,0,0,0,6
15511,20170914,400,6267,14.2,10.5,13.2,0,0,0,0,8
15512,20190526,400,7833,12,11,11.5,0,0,0,0,5.9
15513,20190318,400,5439,5.8,1.2,2.4,0,0,0,0,10
15514,20190319,400,16061,-0.4,-2.1,-4,0,0,0,0,8.4
15515,20170517,400,16124,11.8,7.8,10.4,0,0,0,0,5.9
15516,20170913,400,10681,9.8,8,8.1,0,0,0,0,8
15517,20170808,400,7547,16.4,11.1,15.1,0,0,0,0,11.4
15518,20190320,400,1469,-0.8,-3.5,-5.1,0,0,0,0,12.1
15519,20170123,400,9555,-6,-7.2,-10.5,0,0,0,0.05,10.3
15520,20180323,400,24261,-2.6,-5,-6.2,0,0,0,0,6
15521,20190525,400,12604,8.6,6.7,6.8,0,0,0,0,6.6
15522,20190321,400,8621,-1.6,-3.7,-5.2,0,0,0,0,6.8
15523,20170912,400,5886,13.5,10.9,12,0,0,0,0,12.2
15524,20180429,400,3947,13.5,11.8,12.8,0,0,0,0,8.6
15525,20190524,400,967,8.9,6.5,6.6,0,0,0,0,9.7
15526,20190322,400,21540,1.2,0.1,-1.8,0,0,0,0,5.9
15527,20190323,400,8787,3.2,2.7,0.3,0,0,0,0,8.3
15528,20170809,400,16296,17.8,15.5,18.7,0,0,0,0,6.6
15529,20180609,400,5683,17.9,16.6,19.4,0,0,0,0,5.4
15530,20170430,400,18660,3.4,1.8,0.4,0,0,0,0,7.6
15531,20170911,400,23383,14.4,13.3,14.7,2.9,2.9,0,0,5.4
15532,20170317,400,590,0.6,-0.7,-2.6,0,0,0,0,7
15533,20190324,400,23698,6.6,5.4,4.1,0,0,0,0,9.6
15534,20190325,400,14149,7.4,3.4,5,0.1,0.1,0,0,5.7
15535,20180212,400,8776,-0.4,-1.7,-3.7,0,0,0,0.04,5.9
15536,20190523,400,11982,10.7,7.9,7,0.1,0.1,0,0,21.7
15537,20191031,400,273,-0.2,-1.7,-4,0,0,0,0,10.2
15538,20170117,400,8235,-5.4,-8.1,-10.2,0,0,0,0.06,11.3
15539,20170910,400,20775,13.9,12.7,13.8,0,0,0,0,6.8
15540,20190326,400,13805,1.9,-0.8,-2,0,0,0,0,11.2
15541,20170320,400,10939,9.2,6.2,6.1,0,0,0,0,15
15542,20170223,400,19761,7.7,4.8,4.6,0,0,0,0,12.5
15543,20170810,400,24367,20.7,18.4,22.2,0.1,0.1,0,0,11.5
15544,20190327,400,22936,2.4,0.4,-0.7,0,0,0,0,7
15545,20170909,400,8592,12.6,11.2,11.3,0,0,0,0,11.2
15546,20190522,400,3386,13.7,11.8,11.7,1.4,1.4,0,0,17.8
15547,20190328,400,5218,5.7,2.6,2.9,0,0,0,0,7.7
15548,20190329,400,8711,4.6,3.5,2.1,0,0,0,0,6.8
15549,20170908,400,15611,10.3,7.4,9.1,0,0,0,0,3.7
15550,20180330,400,10900,1,-1.8,-2,0,0,0,0,4.4
15551,20190521,400,17542,10.6,9.8,9.5,0,0,0,0,7.2
15552,20190330,400,3554,0.6,-0.2,-2.5,0,0,0,0,6.5
15553,20170811,400,4883,18.4,16.9,19.8,0,0,0,0,6.6
15554,20170907,400,8030,13.8,7.9,11.2,0,0,0,0,14.2
15555,20170122,400,10297,-12,-13.6,-17,0,0,0,0.06,10.7
15556,20190331,400,7770,3.1,1.3,-0,0,0,0,0,8.3
15557,20190401,400,1077,5.2,0.7,1.6,0,0,0,0,10.9
15558,20170906,400,16253,11.6,8.2,10,0,0,0,0,8
15559,20190520,400,21991,12.7,11.8,12.4,0.1,0.1,0,0,5.6
15560,20190402,400,10514,3,-3.7,-1.3,0,0,0,0,10.9
15561,20190403,400,21297,8.7,-1.5,4.8,0,0,0,0,11
15562,20180610,400,24049,17.4,14.2,17.9,0,0,0,0,5.6
15563,20190519,400,13507,9.4,7.9,7.7,0,0,0,0,7.8
15564,20191004,400,14313,6.8,5.9,5,0,0,0,0,5.4
15565,20170812,400,3740,14.6,11.4,13.3,0,0,0,0,11.8
15566,20170219,400,14018,1.1,-0.4,-1.8,0,0,0,0.01,4.7
15567,20170905,400,7998,10.9,7,8.7,0,0,0,0,9.8
15568,20191005,400,12896,9.4,8.5,8.1,0.1,0.1,0,0,6.5
15569,20190404,400,21476,10.1,3.6,5.8,0,0,0,0,19.3
15570,20191029,400,24296,1.6,0.8,-1.3,0,0,0,0,6.1
15571,20190518,400,12924,8.1,7,5.8,0,0,0,0,10.6
15572,20190405,400,19634,9.7,2.4,6.1,0,0,0,0,12.9
15573,20170501,400,13271,7.3,2.8,3,0,0,0,0,18.5
15574,20170904,400,7971,9.9,8.3,7.6,0,0,0,0,13
15575,20190517,400,16588,6.9,6.8,5.3,0,0,0,0,5.2
15576,20170813,400,15934,14.4,10.3,12.7,0,0,0,0,12.2
15577,20180329,400,10127,6,5.4,3.5,0.3,0.3,0,0,9.3
15578,20190406,400,14590,9.3,8.2,7.6,0.1,0.1,0,0,8.5
15579,20190407,400,21130,5.1,4.2,2.6,0,0,0,0,7.7
15580,20170903,400,18872,13,9.5,10.2,0.2,0.2,0,0,18.3
15581,20170226,400,8206,-1,-4.1,-4.6,0,0,0,0,6.3
15582,20190516,400,8614,7.4,5.9,4.3,0.1,0.1,0,0,14
15583,20190408,400,22215,8.2,5.2,5.9,0,0,0,0,7.7
15584,20170902,400,3849,12,8.8,9.6,0,0,0,0,14.7
15585,20190515,400,24732,5.7,2.7,1.4,0,0,0,0,17.9
15586,20190409,400,83,7.7,2.3,4.2,0,0,0,0,12.1
15587,20190410,400,18732,6.9,2.1,3,0.1,0.1,0,0,14.5
15588,20170814,400,6371,15.5,13.6,15.5,0,0,0,0,7.9
15589,20180611,400,16548,18.6,16.3,19.2,0,0,0,0,10.6
15590,20170901,400,2323,19.1,16.8,19.5,0.2,0.2,0,0,13.7
15591,20170121,400,21647,-9.3,-11.8,-13.5,0,0,0,0.06,5.9
15592,20170503,400,5268,5.4,4.2,2.8,0,0,0,0,8.4
15593,20180211,400,7739,-1.6,-5.1,-4.5,0,0,0,0.04,1.1
15594,20190514,400,10398,3.6,-0.4,-0.8,0,0,0,0,15
